Population	Locus	Probability_of_Exclusion(PE)	Probability_of_Inclusion(PI)	Adjusted_PE²	Adjusted_PI²	Adjusted_PE³	Adjusted_PI³
EUR	D3S1358	9.99918837756675594513E-1	8.11622433244054865676E-5	9.90412315290033584250E-1	9.58768470996641574981E-3	9.90412315290033584250E-1	9.58768470996641574981E-3
EUR	D5S818	9.99918837756675594513E-1	8.11622433244054865676E-5	9.90327899608220984974E-1	9.67210039177901502639E-3	9.90327899608220984974E-1	9.67210039177901502639E-3
EUR	D7S820	9.99918837756675594513E-1	8.11622433244054865676E-5	9.78237774118497216191E-1	2.17622258815027838094E-2	9.78237774118497216191E-1	2.17622258815027838094E-2
EUR	D8S1179	9.99918837756675594513E-1	8.11622433244054865676E-5	9.78237774118497216191E-1	2.17622258815027838094E-2	9.78237774118497216191E-1	2.17622258815027838094E-2
EUR	FGA	9.99918837756675594513E-1	8.11622433244054865676E-5	9.97581974902055246243E-1	2.41802509794475375660E-3	9.97581974902055246243E-1	2.41802509794475375660E-3
EUR	TH01	9.99681122448979591837E-1	3.18877551020408163265E-4	9.78616812195874520249E-1	2.13831878041254797513E-2	9.78616812195874520249E-1	2.13831878041254797513E-2
EUR	TPOX	9.99681122448979591837E-1	3.18877551020408163265E-4	9.78616812195874520249E-1	2.13831878041254797513E-2	9.78616812195874520249E-1	2.13831878041254797513E-2
EUR	vWA	9.99918837756675594513E-1	8.11622433244054865676E-5	9.78364490140191603182E-1	2.16355098598083968182E-2	9.78364490140191603182E-1	2.16355098598083968182E-2
EUR	All_loci	1.00000000000000000000E+0	1.88676426968536547101E-34	1.00000000000000000000E+0	5.17829995640313365701E-38	1.00000000000000000000E+0	5.17829995640313365701E-38
SAS	CSF1PO	9.99912656127172678837E-1	8.73438728273211634204E-5	9.89607199616171896731E-1	1.03928003838281032687E-2	9.89607199616171896731E-1	1.03928003838281032687E-2
SAS	D10S1248	9.99657064471879286694E-1	3.42935528120713305898E-4	9.89794743958842794393E-1	1.02052560411572056073E-2	9.89794743958842794393E-1	1.02052560411572056073E-2
SAS	D12S391	9.99912656127172678837E-1	8.73438728273211634204E-5	9.89701185239742424525E-1	1.02988147602575754751E-2	9.89701185239742424525E-1	1.02988147602575754751E-2
SAS	D13S317	9.99912656127172678837E-1	8.73438728273211634204E-5	9.89607199616171896731E-1	1.03928003838281032687E-2	9.89607199616171896731E-1	1.03928003838281032687E-2
SAS	D16S539	9.99657064471879286694E-1	3.42935528120713305898E-4	9.77038173907396287384E-1	2.29618260926037126163E-2	9.77038173907396287384E-1	2.29618260926037126163E-2
SAS	D18S51	9.99912656127172678837E-1	8.73438728273211634204E-5	9.76616199136386767645E-1	2.33838008636132323546E-2	9.76616199136386767645E-1	2.33838008636132323546E-2
SAS	D19S433	9.99657064471879286694E-1	3.42935528120713305898E-4	9.59178975835371177571E-1	4.08210241646288224290E-2	9.59178975835371177571E-1	4.08210241646288224290E-2
SAS	D1S1656	9.99912656127172678837E-1	8.73438728273211634204E-5	9.97401799904042974183E-1	2.59820009595702581717E-3	9.97401799904042974183E-1	2.59820009595702581717E-3
SAS	D21S11	9.99912656127172678837E-1	8.73438728273211634204E-5	9.89607199616171896731E-1	1.03928003838281032687E-2	9.89607199616171896731E-1	1.03928003838281032687E-2
SAS	D22S1045	9.99912656127172678837E-1	8.73438728273211634204E-5	9.89607199616171896731E-1	1.03928003838281032687E-2	9.89607199616171896731E-1	1.03928003838281032687E-2
SAS	D2S1338	9.99657064471879286694E-1	3.42935528120713305898E-4	9.59178975835371177571E-1	4.08210241646288224290E-2	9.59178975835371177571E-1	4.08210241646288224290E-2
SAS	D2S441	9.99657064471879286694E-1	3.42935528120713305898E-4	9.59178975835371177571E-1	4.08210241646288224290E-2	9.59178975835371177571E-1	4.08210241646288224290E-2
SAS	D3S1358	9.99912656127172678837E-1	8.73438728273211634204E-5	9.89701185239742424525E-1	1.02988147602575754751E-2	9.89701185239742424525E-1	1.02988147602575754751E-2
SAS	D5S818	9.99912656127172678837E-1	8.73438728273211634204E-5	9.89607199616171896731E-1	1.03928003838281032687E-2	9.89607199616171896731E-1	1.03928003838281032687E-2
SAS	D7S820	9.99912656127172678837E-1	8.73438728273211634204E-5	9.76616199136386767645E-1	2.33838008636132323546E-2	9.76616199136386767645E-1	2.33838008636132323546E-2
SAS	D8S1179	9.99912656127172678837E-1	8.73438728273211634204E-5	9.76616199136386767645E-1	2.33838008636132323546E-2	9.76616199136386767645E-1	2.33838008636132323546E-2
SAS	FGA	9.99912656127172678837E-1	8.73438728273211634204E-5	9.97401799904042974183E-1	2.59820009595702581717E-3	9.97401799904042974183E-1	2.59820009595702581717E-3
SAS	TH01	9.99657064471879286694E-1	3.42935528120713305898E-4	9.77038173907396287384E-1	2.29618260926037126163E-2	9.77038173907396287384E-1	2.29618260926037126163E-2
SAS	TPOX	9.99657064471879286694E-1	3.42935528120713305898E-4	9.77038173907396287384E-1	2.29618260926037126163E-2	9.77038173907396287384E-1	2.29618260926037126163E-2
SAS	vWA	9.99912656127172678837E-1	8.73438728273211634204E-5	9.76757284297860098817E-1	2.32427157021399011827E-2	9.76757284297860098817E-1	2.32427157021399011827E-2
SAS	All_loci	1.00000000000000000000E+0	3.56228539742333815984E-34	1.00000000000000000000E+0	2.16825151505090039351E-37	1.00000000000000000000E+0	2.16825151505090039351E-37
